,Person,Said
0,Phoebe,That's like the tenth time I've peed since I've been here!
1,Monica,That's also like the tenth time you told us.
2,Phoebe,"Yeah, oh I'm sorry, it must be really hard to hear!"
3,Phoebe,"I tell ya, it's a lot easier having three babies play Bringing in the Noise, Bringing in da Funk on your bladder!"
4,Phoebe,I'm so sick of being pregnant!
5,Phoebe,"The only happiness I get is from a cup of coffee, which of course is decaf, causeOh!"
6,Phoebe,I'm pregnant!
7,Ross,"Pheebs, didyou want a cookie?"
8,Phoebe,Thank you so much.
9,Rachel,"So uh, Pheebs, honey, how are those mood swings coming?"
10,Phoebe,I haven't really had any yet.
11,Phoebe,Opening Credits
12,Ross,Hey guys!
13,Chandler,Hey.
14,Joey,Hey!
15,Ross,"All right, here's the ring."
16,Chandler,Yes!
17,Chandler,Yes!
18,Chandler,"A thousand times, yes!"
19,Ross,"So uh, any ideas for the bachelor party yet?"
20,Joey,Whoa-whoa-whoa!
21,Joey,"Before you start handing out wedding rings and planning bachelor parties, don't you have to decide who your best man is gonna be?"
22,Chandler,"Oh, it's awkward."
23,Chandler,It's awkward.
24,Chandler,It's awkward.
25,Ross,I sort've already asked Chandler.
26,Joey,What?!
27,Joey,He got to do it at your first wedding!
28,Ross,"Joey, I figured you'd understand."
29,Ross,"I mean, I-I've known him a lot longer."
30,Joey,Come on Ross!
31,Joey,"Look, I-I don't have any brothers; I'll never get to be a best man!"
32,Chandler,You can be the best man when I get married.
33,Joey,I'll never get to be a best man!
34,Ross,"Wait-wait, so, you get to be my best man twice and I never get to be yours at all?"
35,Chandler,"Oh no-no-no, youyeah, of course you get to be my best man."
36,Joey,What about me?!
37,Joey,You-you just said I could!
38,Chandler,I'm not even getting married!
39,Chandler,"Okay, this is a question for science fiction writers!"
40,Joey,I can't believe you're not picking me.
41,Ross,"Hey, how can it not be me?"
42,Ross,!HeyHey!
43,Chandler,I'm not even I'm not even
44,Ross,"Fine, y'know what, that's it."
45,Ross,"From now on, Joey, I want you to be my best man."
46,Joey,Yes!
47,Joey,Shame about you man.
48,Phoebe,Stop it!
49,Monica,What?
50,Phoebe,One of the babies is kicking.
51,Monica,I thought that was a good thing.
52,Phoebe,"It's not kicking me, it's kicking one of the other babies."
53,Phoebe,Oh !
54,Phoebe,Don't make me come in there!
55,Joey,Hey!
56,Monica,Hey!
