,Person,Said
0,Rachel,Here you go Pheebs.
1,Rachel,Who else wants one of my special homemade brownies?
2,Chandler,I will have one.
3,Chandler,"Okay, I'm not gonna have one."
4,Ross,Neither will I.
5,Phoebe,"No, no, it's just my tooth."
6,Chandler,All right I'll have one.
7,Ross,"So what's a matter, you need a dentist?"
8,Ross,I've got a good one.
9,Phoebe,"No thanks, I have a good one too."
10,Phoebe,"I just, I, I can't see him."
11,Chandler,See that is the problem with invisible dentists.
12,Ross,Why?
13,Ross,Why can't you go to him?
14,Phoebe,"Because, every time I go to the dentist, somebody dies."
15,Chandler,"That is so weird, because every time I go to the dentist, I look down the hygienist's blouse."
16,Rachel,"Phoebe, what?"
17,Rachel,Umm...what?
18,Phoebe,"Yeah, yeah, first there was my aunt Mary, and then there was umm, John, my mailman, and then my, my cowboy friend Albino Bob'."
19,Rachel,And all these people actually died?
20,Phoebe,"Yes, while I was in the chair!"
21,Phoebe,"That's why I take such good care of my teeth now, y'know, it's not about oral hygiene, I floss to save lives!"
22,Ross,"Pheebs, come on, you didn't kill anybody, these people just happened to die when you went to the dentist."
23,Ross,"It's, it's, it's just ah, a coincidence."
24,Phoebe,Well tell that to them.
25,Phoebe,Oh!
26,Phoebe,"You can't, their dead."
27,Phoebe,Opening Credits
28,Ross,"Thanks, Gunther."
29,Ross,Hey!
30,Ross,"Umm, can I get a napkin too?"
31,Phoebe,Ow!
32,Phoebe,Ow!
33,Rachel,"Phoebe, your in pain, would you just go to the dentist, just go."
34,Phoebe,"All right, fine, fine, but if you're my next victim, don't come back as a poltergeist and like suck me into the TV set."
35,Rachel,I promise.
36,Phoebe,"Although, don't feel like you can't visit."
37,Joey,"Hey, is, is, is Chandler here?"
38,Ross,"No, no he's not."
39,Monica,"You guys, Joey just saw Janice kissing her ex-husband."
40,Ross,What?
41,Ross,So what are you going to do?
42,Ross,"I mean how, how are you going to tell Chandler?"
43,Joey,"Well, I was thinking about that and I, I think the best way would be, to not."
44,Rachel,"Joey, you can't keep this to yourself, if you know about this, you have to tell him."
45,Joey,It'll kill him.
46,Joey,"I mean it'll, it'll just kill him."
47,Phoebe,"Well, you could wait til I go to the dentist, maybe I'll kill him."
48,Joey,Ewww!
49,Joey,Ugly Naked Guy is using his new hammock.
50,Joey,It's like a Play-Doo Fat Factory.
51,Phoebe,"Well, I'm going to the dentist, so listen, okay, just be on the look out for anything that, that, that you can fall into, or, or that can fall on you, or... All right, just look out!"
52,Phoebe,"Okay, And um, I also just wanna, I just wanna tell you all that um......"
53,Ross,"Okay, I have a problem I have to go into work for a few hours, some kids messed up the Homo Sapien display."
54,Joey,What did they do?
55,Ross,"Well, they painted over the word Sapien' for one thing, then they rearranged the figures, let's just leave it at that."
56,Monica,"So, do you want me to watch Ben for you?"
57,Ross,"Yes, that's what I was going to ask, thank you."
58,Rachel,Whoa!
59,Rachel,Wait!
60,Rachel,Hello!
61,Rachel,What about me?
62,Ross,You?
63,Ross,You!
64,Ross,Want to watch Ben?
65,Ross,Yes!
66,Ross,"That'd be great, no, I just wanted to ask Monica, because I know how empty her life is."
67,Joey,"Hey-hey, Ross?"
68,Ross,Yeah.
69,Joey,I've got a science question.
70,Ross,Hmm?
71,Joey,"If the Homo Sapiens, were in fact Homo-sapien', is that why there extinct?"
72,Ross,"Joey, Homo Sapiens are people."
73,Joey,"Hey-hey, I'm not judging."
74,Rachel,"Look Benny, spoon."
75,Rachel,Spoon.
76,Rachel,Come on!
77,Rachel,"All right, y'know what I think he's bored."
78,Monica,Here.
79,Monica,"Ben, do you wanna play the airplane game, do you wanna show Rachel?"
80,Monica,Come here.
81,Monica,We're gonna do something fun.
82,Monica,Okay.
83,Monica,Weee!!
84,Monica,Weee!
85,Monica,"Who's so brave, you're so brave, yes you are, you're so brave."
86,Rachel,Okay.
87,Rachel,"Okay honey, he's fine, he's fine, let's just put him down."
88,Rachel,"Come here, Ben."
89,Rachel,See that's a good boy.
90,Rachel,How could you do that to him!!
91,Rachel,"Ross trusted me, what is he going to say?"
92,Monica,"He's not gonna say anything, because we're not gonna tell him."
93,Rachel,We're not?
94,Monica,No we're not.
95,Rachel,"All right, I like that."
96,Monica,Okay.
97,Rachel,"So we're okay, we're okay, we're okay,  aren't we?"
98,Rachel,"No, we're not okay, we're not okay, there's a bump, there's a bump."
99,Monica,Oh my God!
100,Monica,Well push it in!
101,Monica,Push it in!
102,Rachel,I cannot push it in!
103,Monica,"Okay, we're gonna need a distraction."
104,Rachel,"Okay, okay, okay."
105,Monica,I got it!
106,Rachel,Okay.
107,Monica,"The second that Ross walks in that door, I want you take him back to your bedroom and do whatever it is that you do that makes him go,  rweee!"
108,Rachel,Or.
109,Rachel,We could put a hat on his head.
110,Monica,A hat!
111,Monica,Yes!
112,Monica,We need a hat.
113,Rachel,We need a hat..
114,Monica,Where are we gonna find a tiny little hat?
115,Rachel,"Oh, oh, oh, I'll get Rainy Day Bear'!"
116,Monica,Because he'll know what to do?
117,Monica,"Oh my God, you're a genius!"
118,Rachel,"Oh God, oh God, it's sowed on though."
119,Monica,Give it.
120,Monica,Give it.
121,Rachel,Okay.
122,Rachel,Monica and
123,Rachel,Oh!
124,Rachel,"Oh, it's just like a bloodbath in here today."
125,Chandler,Hey!
126,Chandler,"Hold on a minute, hold on a second."
127,Chandler,Do you think these pearls are nice?
128,Joey,I'd really prefer a mountain bike.
129,Chandler,"Janice's birthday is coming up, I want to get her something speacial."
130,Chandler,Come in here with me.
131,Joey,"Whoa, whoa, whoa, wait, whoa."
132,Joey,"Do you ah, want to get her something speacial, get her flowers, get her candy, get her gum, girls love gum."
133,Chandler,"That's a good idea, Dear Janice have a Hubba-Bubba birthday'."
134,Chandler,I would like to get her something serious.
135,Joey,"Oh, you want something serious."
136,Joey,"Y'know what you should do, you should get her one of those um, barium enemas."
137,Joey,Those are dead serious.
138,Chandler,All right.
139,Chandler,"Look, I'm gonna go in here, and you don't buy me anything ever."
140,Joey,"No, no, you can't, you can't, okay, you can't, you can't buy her pearls, you just can't, you can't, you can't."
141,Chandler,Why not?
142,Joey,Oh God.
143,Joey,"Uh, okay, here's the thing, this is the thing, okay, the thing is..."
144,Chandler,What is the thing?
145,Joey,Okay.
146,Joey,"I went down to the Mattress King' showroom and, and I saw Janice, kissing her ex-husband."
147,Chandler,What?
148,Joey,They were in his office.
149,Chandler,"Well she, she wouldn't do that, she's with, she's with me."
150,Joey,"I'm telling you man, I saw it."
151,Chandler,"Yeah, well, you're wrong!"
152,Chandler,"Okay, you're wrong."
153,Joey,I'm not wrong!
154,Joey,I wish I was.
155,Joey,I'm sorry.
156,Joey,"Bet that barium enema doesn't sound so bad now, huh?"
157,Monica,It just makes more sense as an ensemble.
158,Rachel,Right.
159,Monica,"Besides, it takes the focus off the hat."
160,Phoebe,No!
161,Phoebe,Oh!
162,Phoebe,You're alive!
163,Phoebe,You're alive!
164,Rachel,"See Pheebs, I promised you no one would die, didn't I?"
165,Phoebe,"Yeah, well, we'll see about that."
166,Phoebe,Can I use your phone?
167,Phoebe,I just wanna call everyone I know.
168,Monica,"Sure, we have no money, go ahead."
169,Phoebe,Hey!
170,Phoebe,You're not dead!
171,Phoebe,"Okay, see ya!'"
172,Monica,Oh my God!
173,Monica,He just said my name!
174,Monica,Did you hear that?
175,Rachel,"Okay, I heard that."
176,Monica,Did he just say Monica bang'?
177,Rachel,Uh-huh.
178,Monica,Oh my God!
179,Monica,He's gonna rat me out!
180,Monica,"Oh-ho-ho, sweetie, sweetie, you gotta stop saying that, now."
181,Monica,"It's no big deal, it's not even worth mentioning, you see we all do it all the time."
182,Monica,"See watch this, Ben, Ben, Ben."
183,Monica,"Ow, Monica bang!"
184,Monica,Everybody bang.
185,Monica,Ben bang.
186,Monica,Rachel bang.
187,Monica,"Bang, Rachel bang!"
188,Monica,"Oh, isn't that fun?"
189,Rachel,Look at that!
190,Rachel,Look at that!
191,Rachel,We all do it.
192,Rachel,"Okay, I'm stopping now."
193,Monica,You okay?
194,Rachel,Oh yeah!
195,Rachel,"Y'know, if it's not a headboard, it's just not worth it."
196,Chandler,"Ah, I don't know, you tell me."
197,Chandler,"Anything you ah, wanna tell me, because, if you ah, you should, if you, you would, tell me."
198,Chandler,You tell me!
199,Chandler,"Maybe, it's because I was just fooling with my ex!"
200,Chandler,"Oh no-no-no-no, no-no-no-no, that was you!"
201,Chandler,All right!
202,Chandler,"Joey told me, he saw you two kissing."
203,Chandler,No!
204,Chandler,In his office!
205,Chandler,How many kisses were there?
206,Chandler,"Wh-wh-why, wh-why, why, why was there kissing!?"
207,Chandler,There should be no kissing!
